"ID";"指示符";"封装";"数量";"名称";"供应商和参考";
1;"U4";"TMB6-1.55-3.8X2.6MM";1;"OPTICAL-TSL2561T(6P-3.8X2.6MM)";;;
2;"U2";"DBV0005A_N";1;"TLV70430DBVR";;;
3;"R35,R27,R26,R3";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";4;"1k";;;
4;"D6,D5";"D_0603_1608Metric_Pad1.05x0.95mm_HandSolder";2;"LED";;;
5;"R34";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"330";;;
6;"Q3";"SOT-23";1;"Q_PMOS_GSD";;;
7;"R33";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"2.7k";;;
8;"R32";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"47k";;;
9;"R31";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"5.6k";;;
10;"Q4";"SOT-23";1;"MMBT3904";;;
11;"Z3,Z2,Z1";"Selector_default";3;"~";;;
12;"R30";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"150";;;
13;"R29";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";1;"180";;;
14;"C15";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"13p";;;
15;"U6,U5";"TSOT-23-5";2;"AD8603";;;
16;"R28,R8,R25,R23";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";4;"100k";;;
17;"R7";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"22k";;;
18;"R10,R16,R14,R18,R5,R20";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";6;"12k";;;
19;"C8,C14,C6,C2,C10,C12,C7,C1,C9,C11";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";10;"100n";;;
20;"R12,R15,R6,R19,R9,R17,R11,R4,R13";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";9;"10k";;;
21;"R1,R2";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"27.4";;;
22;"Q2,Q1";"SOT-23";2;"Q_NMOS_GSD";;;
23;"sx1";"sx70";1;"sx~";;;
24;"J2,J1,J3";"PinHeader_1x02_P2.54mm_Vertical";3;"Conn_01x02";;;
25;"C4";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"0.1u";;;
26;"Y1";"Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm";1;"Crystal_GND2";;;
27;"D4,D3,D1";"D_SOD-323";3;"1N4148WS";;;
28;"R24,R21,R22";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";3;"100";;;
29;"U3";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
30;"C3,C13,C5";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";3;"1u";;;
31;"U1";"RP2040-QFN-56";1;"RP2040";;;
32;"D2";"Osram_SFH2430";1;"SFH2430";;;
