Designator,Mid X,Mid Y,Rotation,Layer
C15,16.1,20.5,180.0,top
C4,10.0325,2.5,180.0,top
C5,6.5625,3.550001,270.0,top
C6,11.0,11.6,315.0,top
C7,12.8,7.6,0.0,top
D1,14.7,3.5,0.0,top
D3,82.575,7.0,0.0,top
D4,81.425,23.8,90.0,top
D5,27.94,25.402,0.0,top
J1,29.5,10.155,0.0,top
J2,62.799999,11.3,90.0,top
J3,25.9,10.155,0.0,top
L1,7.044367,12.4,0.0,top
Q1,82.575,9.65,180.0,top
Q2,85.25,25.0,0.0,top
Q5,5.2,17.6,270.0,top
Q6,7.4,20.6,270.0,top
R1,9.1,8.6,0.0,top
R10,19.3,20.4,0.0,top
R11,10.8,20.4,0.0,top
R12,10.8,21.4,0.0,top
R13,79.4,16.2,0.0,top
R14,79.4025,17.2,180.0,top
R17,82.5,16.175,180.0,top
R18,82.5,17.2,0.0,top
R19,82.475,15.1,180.0,top
R2,12.8,8.6,180.0,top
R20,82.45,14.075,0.0,top
R21,82.4,12.7,0.0,top
R22,79.075,8.4,90.0,top
R23,80.1,8.384,90.0,top
R24,80.0,20.025,90.0,top
R25,81.1,20.025,90.0,top
R26,13.0,23.6,270.0,top
R3,19.3,18.1,180.0,top
R34,28.2,24.0,180.0,top
R4,9.1,9.6,180.0,top
R5,19.3,19.1,180.0,top
R6,12.8,6.6,0.0,top
R7,5.8,14.4,0.0,top
R8,7.6,17.4,90.0,top
R9,19.3,21.4,180.0,top
SX1,44.6,15.6,0.0,top
U1,1.7,9.9,270.0,top
U3,9.5,5.1,0.0,top
U4,14.8,14.6,135.0,top
U5,16.25,19.8,90.0,bottom
